CompanyID,Company,Val_B_M,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,fund_B_M,Funding,FundinginMillions,Select Investors
454,Tonal,B,2,3/31/21,E-commerce & direct-to-consumer,San Francisco,United States,North America,1/1/15,M,450M,450,"Mayfield Fund, Shasta Ventures, L Catterton"
455,Truepill,B,2,10/27/21,Health,Hayward,United States,North America,1/1/16,M,255M,255,"Initialized Capital, Sound Ventures, TI Platform Management"
456,Unite Us,B,2,3/16/21,Health,New York,United States,North America,1/1/14,M,195M,195,"Insight Partners, Sequoia Capital, Index Ventures"
457,Verkada,B,2,1/29/20,Cybersecurity,San Mateo,United States,North America,1/1/16,M,139M,139,"next47, First Round Capital, Sequoia Capital"
458,Wayflyer,B,2,2/1/22,Fintech,Dublin,Ireland,Europe,1/1/19,M,236M,236,"QED Investors, DST Global, Left Lane Capital"
459,Zhubajie,B,2,6/16/15,Internet software & services,Chongqing,China,Asia,1/1/06,M,445M,445,"Cybernaut Growth Fund, IDG Capital"
460,Transcarent,B,2,1/11/22,Health,San Francisco,United States,North America,1/1/20,M,298M,298,"Alta Partners, General Catalyst, Jove Equity Partners"
461,Trader Interactive,B,2,5/12/21,Other,Norfolk,United States,North America,1/1/17,M,624M,624,Carsales
462,Glossier,B,2,3/19/19,Consumer & retail,New York,United States,North America,1/1/14,M,266M,266,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital"
463,Hibob,B,2,10/12/21,Internet software & services,Tel Aviv,Israel,Asia,1/1/15,M,274M,274,"Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures"
464,Jobandtalent,B,2,12/1/21,Internet software & services,Madrid,Spain,Europe,1/1/09,M,902M,902,"Kibo Ventures, SoftBank Group, Atomico"
465,Optimism,B,2,3/17/22,Internet software & services,San Francisco,United States,North America,1/1/19,M,179M,179,"Paradigm, Huobi Ventures, Andreessen Horowitz"
466,solarisBank,B,2,7/13/21,Fintech,Berlin,Germany,Europe,1/1/16,M,403M,403,"Yabeo Capital, SBI Investment, Vulcan Capital"
467,WEMAKEPRICE,B,2,9/9/15,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,1/1/09,M,397M,397,"IMM Investment, NXC"
468,Alan,B,2,4/19/21,Fintech,Paris,France,Europe,1/1/16,M,364M,364,"Index Ventures, Temasek, Portag3 Ventures"
469,Biren Technology,B,2,8/18/20,Hardware,Shanghai,China,Asia,1/1/19,M,285M,285,"V FUND, IDG Capital, Green Pine Capital Partners"
470,Voodoo,B,2,8/17/20,Other,Paris,France,Europe,1/1/13,M,517M,517,"Tencent Holdings, Goldman Sachs"
471,Carsome,B,2,7/12/21,E-commerce & direct-to-consumer,Selangor,Malaysia,Asia,1/1/15,M,577M,577,"Gobi Partners, 500 Startups, Ondine Capital"
472,CircleCI,B,2,5/11/21,Internet software & services,San Francisco,United States,North America,1/1/11,M,315M,315,"Threshold Ventures, Baseline Ventures, Harrison Metal"
473,DealShare,B,2,1/27/22,E-commerce & direct-to-consumer,Bengaluru,India,Asia,1/1/18,M,612M,612,"Alpha Wave Global, Matrix Partners India, Tiger Global Management"
474,DispatchHealth,B,2,3/3/21,Health,Denver,United States,North America,1/1/13,M,403M,403,"Alta Partners, Questa Capital, Echo Health Venturesl"
475,Dragos,B,2,10/28/21,Cybersecurity,Hanover,United States,North America,1/1/16,M,358M,358,"DataTribe, Energy Impact Partners, AllegisCyber Capital"
476,Gousto,B,2,11/3/20,"Supply chain, logistics, & delivery",London,United Kingdom,Europe,1/1/12,M,311M,311,"MMC Ventures, BGF Ventures, Unilever Ventures"
477,H2O.ai,B,2,11/7/21,Artificial intelligence,Mountain View,United States,North America,1/1/11,M,251M,251,"Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners"
478,Harness,B,2,1/14/21,Artificial intelligence,San Francisco,United States,North America,1/1/16,M,195M,195,"Menlo Ventures, Alkeon Capital Management, Citi Ventures"
479,Harry's,B,2,2/16/18,Consumer & retail,New York,United States,North America,1/1/13,M,792M,792,"Thrive Capital, Tiger Global Management, Temasek"
480,PAX,B,2,10/22/18,Consumer & retail,San Francisco,United States,North America,1/1/07,M,542M,542,"Tao Capital Partners, Global Asset Capital, Tiger Global Management"
481,Productboard,B,2,2/2/22,Internet software & services,San Francisco,United States,North America,1/1/14,M,261M,261,"Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners"
482,Reltio,B,2,11/4/21,Data management & analytics,Redwood City,United States,North America,1/1/11,M,237M,237,"Crosslink Capital, .406 Ventures, Sapphire Ventures"
483,Spotter,B,2,2/16/22,Fintech,Los Angeles,United States,North America,1/1/19,M,231M,231,"SoftBank Group, Access Industries, Crossbeam Venture Partners"
484,Vestiaire Collective,B,2,3/1/21,E-commerce & direct-to-consumer,Paris,France,Europe,1/1/09,M,663M,663,"Eurazeo, IDInvest Partners, Balderton Capital"
485,Wave,B,2,9/7/21,Fintech,Dakar,Senegal,Africa,1/1/18,M,200M,200,"Stripe, Founders Fund, Partech Partners"
486,ZenBusiness,B,2,11/9/21,Fintech,Austin,United States,North America,1/1/15,M,275M,275,"Greycroft, Lerer Hippeau, Geekdom Fund"
487,Bowery Farming,B,2,5/25/21,Other,New York,United States,North America,1/1/15,M,497M,497,"Temasek, Google Ventures, General Catalyst"
488,Greenlight,B,2,9/24/20,Fintech,Atlanta,United States,North America,1/1/14,M,557M,557,"Relay Ventures, TTV Capital, Canapi Ventures"
489,KeepTruckin,B,2,4/23/19,"Supply chain, logistics, & delivery",San Francisco,United States,North America,1/1/13,M,417M,417,"Google Ventures, Index Ventures, Scale Venture Partners"
490,Odoo,B,2,7/29/21,Internet software & services,Louvain-la-Neuve,Belgium,Europe,1/1/05,M,229M,229,"Summit Partners, Noshaq, Sofinnova Partners"
491,Skydance Media,B,2,2/11/20,Other,Santa Monica,United States,North America,1/1/10,M,275M,275,"RedBird Capital Partners, CJ ENM, Tencent Holdings"
492,Uptake,B,2,10/27/15,Artificial intelligence,Chicago,United States,North America,1/1/14,M,218M,218,"Revolution, New Enterprise Associates, Caterpillar"
493,MoMo,B,2,12/10/21,Fintech,Ho Chi Minh City,Vietnam,Asia,1/1/13,M,434M,434,"Goodwater Capital, Warburg Pincus, GS Growth"
494,Algolia,B,2,7/28/21,Internet software & services,San Francisco,United States,North America,1/1/12,M,334M,334,"Accel, Alven Capital, Storm Ventures"
495,Pattern,B,2,10/6/21,Internet software & services,Lehi,United States,North America,1/1/13,M,277M,277,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners"
496,Spinny,B,2,11/24/21,E-commerce & direct-to-consumer,Gurugram,India,Asia,1/1/15,M,509M,509,"General Catalyst, Eleation Capital, Avenir Growth Capital"
497,Trulioo,B,2,6/7/21,Cybersecurity,Vancouver,Canada,North America,1/1/11,M,474M,474,"Blumberg Capital, American Express Ventures, BDC Venture Capital"
498,Zume,B,2,11/1/18,Consumer & retail,Mountain View,United States,North America,1/1/15,M,423M,423,"Softbank Group, AME Cloud Ventures, SignalFire"
499,AIWAYS,B,2,4/16/18,Auto & transportation,Shanghai,China,Asia,1/1/17,M,792M,792,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology"
500,Bitso,B,2,5/5/21,Fintech,Mexico City,Mexico,North America,1/1/14,M,378M,378,"Pantera Capital, QED Investors, Coinbase Ventures"
501,BloomReach,B,2,2/23/22,Artificial intelligence,Mountain View,United States,North America,1/1/09,M,422M,422,"Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners"
502,Current,B,2,4/27/21,Fintech,New York,United States,North America,1/1/15,M,402M,402,"Expa, QED Investors, Foundation Capital"
503,Dialpad,B,2,10/6/20,Internet software & services,San Francisco,United States,North America,1/1/11,M,400M,400,"Andreessen Horowitz, Google Ventures, Section 32"
504,G7 Networks,B,2,2/15/22,"Supply chain, logistics, & delivery",Beijing,China,Asia,1/1/06,M,710M,710,"Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners"
505,Gympass,B,2,6/12/19,Internet software & services,New York,United States,North America,1/1/12,M,525M,525,"General Atlantic, SoftBank Group, Atomico"
506,MUSINSA,B,2,11/11/19,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,1/1/01,M,287M,287,Sequoia Capital
507,NuCom Group,B,2,2/22/18,Other,Unterfoehring,Germany,Europe,1/1/16,M,550M,550,General Atlantic
508,Reify Health,B,2,8/10/21,Health,Boston,United States,North America,1/1/12,M,259M,259,"Sierra Ventures, Battery Ventures, Asset Management Ventures"
509,Diamond Foundry,B,2,3/29/21,Other,San Francisco,United States,North America,1/1/12,M,351M,351,"Fashion Tech Lab, Fidelity Investments, Vast Ventures"
510,FullStory,B,2,8/4/21,Internet software & services,Atlanta,United States,North America,1/1/14,M,172M,172,"Google Ventures, Kleiner Perkins Caufield & Byers, Stripes Group"
511,Lightricks,B,2,7/31/19,Artificial intelligence,Jerusalem,Israel,Asia,1/1/13,M,305M,305,"Viola Ventures, Insight Partners, ClalTech, Goldman Sachs"
512,Opentrons,B,2,9/23/21,Hardware,New York,United States,North America,1/1/16,M,240M,240,"SOSV, Khosla Ventures, Lerer Hippeau"
513,ZocDoc,B,2,8/20/15,Health,New York,United States,North America,1/1/07,M,374M,374,"Founders Fund, Khosla Ventures, Goldman Sachs"
514,Accelerant,B,2,1/12/22,Other,Colchester,United Kingdom,Europe,1/1/18,M,193M,193,"Deer Park Road, Altamont Capital Partners, Eldridge"
515,Huaqin Telecom Technology,B,2,10/8/19,Mobile & telecommunications,Shanghai,China,Asia,1/1/05,M,298M,298,"Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital"
516,Addepar,B,2,6/15/21,Fintech,Mountain View,United States,North America,1/1/09,M,676M,676,"8VC, D1 Capital Partners, Sway Ventures"
517,YITU Technology,B,2,3/8/18,Artificial intelligence,Shanghai,China,Asia,1/1/12,M,401M,401,"Sequoia Capital China, Banyan Capital"
518,CloudWalk,B,2,9/8/21,Fintech,Sao Paulo,Brazil,South America,1/1/15,M,345M,345,"Plug and Play Ventures, Valor Capital Group, DST Global"
519,Retool,B,2,12/22/21,Internet software & services,San Francisco,United States,North America,1/1/00,M,96M,96,Sequoia Capital
520,Volocopter,B,2,3/4/22,Auto & transportation,Bruchsal,Germany,Europe,1/1/11,M,599M,599,"btov Partners, Geely, Intel Capital"
521,Acorns,B,2,3/9/22,Fintech,Irvine,United States,North America,1/1/12,M,507M,507,"e.ventures, Bain Capital Ventures, Greycroft"
522,Aledade,B,2,1/19/21,Health,Bethesda,United States,North America,1/1/14,M,295M,295,"Venrock, CVF Capital Partners, ARCH Venture Partners"
523,CoinSwitch Kuber,B,2,10/6/21,Fintech,Bangalore,India,Asia,1/1/17,M,301M,301,"Tiger Global Management, Sequoia Capital India, Ribbit Capital"
524,ConcertAI,B,2,3/29/22,Artificial Intelligence,Boston,United States,North America,1/1/18,M,300M,300,"Sixth Street Partners, Declaration Partners, Maverick Ventures Israel"
525,Eightfold.ai,B,2,10/27/20,Internet software & services,Santa Clara,United States,North America,1/1/16,M,397M,397,"Foundation Capital, Institutional Venture Partners, General Catalyst"
526,FirstCry,B,2,2/7/20,E-commerce & direct-to-consumer,Pune,India,Asia,1/1/10,M,441M,441,"SoftBank Group, SAIF Partners India, Valiant Capital Partners"
527,Forto,B,2,6/21/21,"Supply chain, logistics, & delivery",Berlin,Germany,Europe,1/1/16,M,593M,593,"Cherry Ventures, Northzone Ventures, Global Founders Capital"
528,GoCardless,B,2,2/8/22,Fintech,London,United Kingdom,Europe,1/1/11,M,529M,529,"Accel, Passion Capital, Balderton Capital"
529,InVision,B,2,11/1/17,Internet software & services,New York,United States,North America,1/1/11,M,349M,349,"FirstMark Capital, Tiger Global Management, ICONIQ Capital"
530,Jeeves,B,2,3/14/22,Fintech,Orlando,United States,North America,1/1/19,M,268M,268,"Tencent Holdings, CRV, Clocktower Technology Ventures"
531,Medable,B,2,10/26/21,Internet software & services,Palo Alto,United States,North America,1/1/13,M,507M,507,"GSR Ventures, Sapphire Ventures, Streamlined Ventures"
532,Moveworks,B,2,6/30/21,Artificial intelligence,Mountain View,United States,North America,1/1/16,M,305M,305,"Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers"
